# Time (seconds),f0_f0_f0,f0_f0_f1,f0_f0_f2,f0_f0_f3,f0_f0_f4,f0_f0_f5,f0_f0_f6,f0_f0_f7
0.039,1.017608642578125,1.039520263671875,1.067169189453125,1.0778961181640625,1.067535400390625,1.0411224365234375,1.0077667236328125,0.9757232666015625
0.078,1.0221099853515625,1.0398712158203125,1.062408447265625,1.0716400146484375,1.0640106201171875,1.0405120849609375,1.0093536376953125,0.977813720703125
0.117,1.016937255859375,1.0366973876953125,1.061614990234375,1.0712890625,1.0658111572265625,1.045867919921875,1.0147857666015625,0.9791717529296875
0.156,1.01873779296875,1.0373687744140625,1.0610198974609375,1.0691680908203125,1.0632781982421875,1.0451507568359375,1.0145263671875,0.978424072265625
0.195,1.01519775390625,1.0356597900390625,1.0587615966796875,1.0649566650390625,1.0574493408203125,1.03802490234375,1.008453369140625,0.9763031005859375
0.234,1.0184478759765625,1.037261962890625,1.0613250732421875,1.0709686279296875,1.0619964599609375,1.03875732421875,1.007171630859375,0.9748077392578125
0.273,1.0150146484375,1.0357513427734375,1.0589447021484375,1.064422607421875,1.0556182861328125,1.035491943359375,1.005523681640625,0.9732208251953125
0.312,1.0238494873046875,1.043670654296875,1.066192626953125,1.071502685546875,1.0622100830078125,1.0412750244140625,1.0104827880859375,0.975921630859375
0.351,1.02117919921875,1.0400848388671875,1.0626373291015625,1.071624755859375,1.0644378662109375,1.0415496826171875,1.0084381103515625,0.9740142822265625
0.39,1.017822265625,1.041259765625,1.0660400390625,1.0727996826171875,1.0623321533203125,1.038116455078125,1.0048370361328125,0.97119140625
0.429,1.0151214599609375,1.037689208984375,1.062713623046875,1.070587158203125,1.0615234375,1.0379180908203125,1.00506591796875,0.971405029296875
0.468,1.0229644775390625,1.044952392578125,1.0705108642578125,1.077667236328125,1.0667877197265625,1.0425872802734375,1.00823974609375,0.970977783203125
0.507,1.0158538818359375,1.038238525390625,1.06536865234375,1.075439453125,1.06744384765625,1.04376220703125,1.00933837890625,0.972503662109375
0.546,1.020904541015625,1.04388427734375,1.0709686279296875,1.080535888671875,1.072113037109375,1.04815673828125,1.01287841796875,0.9750213623046875
0.585,1.0183563232421875,1.04010009765625,1.0666961669921875,1.075927734375,1.067962646484375,1.0460968017578125,1.0134735107421875,0.977508544921875
0.624,1.01702880859375,1.0381011962890625,1.06573486328125,1.0771026611328125,1.07025146484375,1.049163818359375,1.018280029296875,0.983612060546875
0.663,1.0158843994140625,1.0370330810546875,1.0654449462890625,1.0793609619140625,1.0738677978515625,1.05023193359375,1.0159149169921875,0.9797210693359375
0.702,1.01678466796875,1.039215087890625,1.064605712890625,1.0740203857421875,1.064666748046875,1.039794921875,1.0076141357421875,0.9766693115234375
0.741,1.0252838134765625,1.045074462890625,1.06488037109375,1.0720672607421875,1.0660552978515625,1.0442047119140625,1.010162353515625,0.9763641357421875
0.78,1.0188140869140625,1.0377044677734375,1.0596923828125,1.0686492919921875,1.063079833984375,1.0406951904296875,1.0066375732421875,0.97454833984375
0.819,1.0148162841796875,1.0358428955078125,1.061431884765625,1.0696868896484375,1.0601348876953125,1.036865234375,1.0070953369140625,0.9774322509765625
0.858,1.0187225341796875,1.0399627685546875,1.06488037109375,1.072509765625,1.064300537109375,1.0426025390625,1.0123443603515625,0.98065185546875
0.897,1.014068603515625,1.0359039306640625,1.063140869140625,1.073028564453125,1.063934326171875,1.040740966796875,1.00946044921875,0.9774017333984375
0.936,1.0152587890625,1.0388641357421875,1.0641632080078125,1.072174072265625,1.0630035400390625,1.0404510498046875,1.0093841552734375,0.973968505859375
0.975,1.0216827392578125,1.04327392578125,1.0659637451171875,1.0726776123046875,1.06463623046875,1.0428009033203125,1.0117645263671875,0.9803314208984375
1.014,1.0169677734375,1.0363922119140625,1.0601959228515625,1.0694122314453125,1.0620880126953125,1.040130615234375,1.0086669921875,0.9749755859375
1.053,1.0136566162109375,1.034088134765625,1.0589752197265625,1.0682373046875,1.061553955078125,1.0395660400390625,1.0075531005859375,0.9759674072265625
1.092,1.0132904052734375,1.03558349609375,1.0637054443359375,1.07470703125,1.0656280517578125,1.04083251953125,1.0090789794921875,0.9762420654296875
1.131,1.0196990966796875,1.041748046875,1.0696563720703125,1.078704833984375,1.0684356689453125,1.041900634765625,1.00762939453125,0.9763031005859375
1.17,1.0269012451171875,1.0477447509765625,1.072021484375,1.079681396484375,1.0680389404296875,1.04217529296875,1.0100860595703125,0.9791107177734375
1.209,1.026336669921875,1.047821044921875,1.07135009765625,1.07867431640625,1.06927490234375,1.0453033447265625,1.011810302734375,0.9781494140625
1.248,1.0290374755859375,1.0496826171875,1.0738067626953125,1.083221435546875,1.0714874267578125,1.0447998046875,1.01318359375,0.9809112548828125
1.287,1.0199432373046875,1.0406951904296875,1.0652313232421875,1.0743408203125,1.064971923828125,1.0401153564453125,1.0066680908203125,0.9745635986328125
1.326,1.0220947265625,1.043792724609375,1.0694122314453125,1.07623291015625,1.063720703125,1.037322998046875,1.003662109375,0.972198486328125
1.365,1.0248260498046875,1.0463409423828125,1.072906494140625,1.082183837890625,1.068572998046875,1.037078857421875,1.00140380859375,0.9697723388671875
1.404,1.027252197265625,1.0506591796875,1.07342529296875,1.077362060546875,1.06390380859375,1.037353515625,1.0029449462890625,0.969451904296875
1.443,1.02972412109375,1.0513916015625,1.0731201171875,1.0780181884765625,1.06640625,1.0393218994140625,1.004730224609375,0.971954345703125
1.482,1.026336669921875,1.0478515625,1.070709228515625,1.075469970703125,1.0634307861328125,1.0362091064453125,1.001739501953125,0.970123291015625
1.521,1.0214996337890625,1.0435028076171875,1.0678253173828125,1.07354736328125,1.0602264404296875,1.03265380859375,0.9999542236328125,0.9702606201171875
1.56,1.0171661376953125,1.0403289794921875,1.0648193359375,1.0702056884765625,1.05767822265625,1.0316162109375,0.997955322265625,0.967041015625
1.599,1.020721435546875,1.0441131591796875,1.0675811767578125,1.0696868896484375,1.0529632568359375,1.025634765625,0.9951171875,0.96728515625
1.638,1.0196075439453125,1.04193115234375,1.0651702880859375,1.06903076171875,1.0550079345703125,1.0281524658203125,0.996612548828125,0.96783447265625
1.677,1.0347137451171875,1.055755615234375,1.074493408203125,1.077362060546875,1.063201904296875,1.035980224609375,1.0043792724609375,0.973663330078125
1.716,1.022308349609375,1.0439910888671875,1.0679779052734375,1.0735931396484375,1.05963134765625,1.03167724609375,0.998809814453125,0.969818115234375
1.755,1.0196075439453125,1.0450439453125,1.0718841552734375,1.0763702392578125,1.0611114501953125,1.0342864990234375,1.001617431640625,0.9714813232421875
1.794,1.020111083984375,1.04534912109375,1.0721435546875,1.079132080078125,1.0655517578125,1.0358123779296875,0.999969482421875,0.9673919677734375
1.833,1.0189666748046875,1.044891357421875,1.0731201171875,1.0792999267578125,1.06378173828125,1.0359344482421875,1.0020751953125,0.9682159423828125
1.872,1.02099609375,1.0463104248046875,1.072967529296875,1.0802154541015625,1.0673828125,1.0384979248046875,1.001800537109375,0.9681854248046875
1.911,1.0317840576171875,1.0544281005859375,1.0770111083984375,1.0837554931640625,1.0723876953125,1.0440521240234375,1.0069122314453125,0.971160888671875
1.95,1.025146484375,1.04815673828125,1.073333740234375,1.0807647705078125,1.070343017578125,1.0418853759765625,1.003570556640625,0.96875
1.989,1.0213775634765625,1.043792724609375,1.071563720703125,1.0821990966796875,1.072479248046875,1.04656982421875,1.0100555419921875,0.9738616943359375
2.028,1.0129852294921875,1.038726806640625,1.06744384765625,1.0770416259765625,1.0674285888671875,1.041839599609375,1.00653076171875,0.9729156494140625
2.067,1.0211944580078125,1.043975830078125,1.0699615478515625,1.0800933837890625,1.0717315673828125,1.04534912109375,1.0117034912109375,0.9758758544921875
2.106,1.0240478515625,1.04437255859375,1.069000244140625,1.07843017578125,1.0697479248046875,1.045989990234375,1.01177978515625,0.9750823974609375
2.145,1.0273895263671875,1.045989990234375,1.067413330078125,1.0764007568359375,1.0698394775390625,1.0472564697265625,1.0128631591796875,0.9767608642578125
2.184,1.0210723876953125,1.0396270751953125,1.0640716552734375,1.0751495361328125,1.0662384033203125,1.041046142578125,1.0084991455078125,0.9765472412109375
2.223,1.02130126953125,1.04058837890625,1.0620269775390625,1.0687408447265625,1.0597991943359375,1.038848876953125,1.0094757080078125,0.9779815673828125
2.262,1.027008056640625,1.0469207763671875,1.0679168701171875,1.0728912353515625,1.0634002685546875,1.0416259765625,1.0103302001953125,0.9765777587890625
2.301,1.0235443115234375,1.0434417724609375,1.0642852783203125,1.0714263916015625,1.062713623046875,1.0397186279296875,1.0096435546875,0.978057861328125
2.34,1.015625,1.035400390625,1.0621490478515625,1.073150634765625,1.0623779296875,1.0366668701171875,1.006103515625,0.9753265380859375
2.379,1.01373291015625,1.0340423583984375,1.05841064453125,1.06585693359375,1.0569915771484375,1.0354461669921875,1.00543212890625,0.9746246337890625
2.418,1.0169830322265625,1.035675048828125,1.058563232421875,1.0653839111328125,1.0580291748046875,1.0364227294921875,1.0036773681640625,0.97296142578125
2.457,1.0169677734375,1.0367431640625,1.0590362548828125,1.06634521484375,1.057708740234375,1.03509521484375,1.0052642822265625,0.974700927734375
2.496,1.0177154541015625,1.0380706787109375,1.060546875,1.0653839111328125,1.0567474365234375,1.0363616943359375,1.0070343017578125,0.97503662109375
2.535,1.0230255126953125,1.0419921875,1.06085205078125,1.0643157958984375,1.0567779541015625,1.0359344482421875,1.00433349609375,0.9709625244140625
