# Time (seconds),f0_f0_f0,f0_f0_f1,f0_f0_f2,f0_f0_f3,f0_f0_f4,f0_f0_f5,f0_f0_f6,f0_f0_f7
0.039,1.0350494384765625,1.04931640625,1.053955078125,1.0378265380859375,1.0080413818359375,0.9716339111328125,0.936431884765625,0.912200927734375
0.078,1.027923583984375,1.043426513671875,1.0515594482421875,1.036376953125,1.005828857421875,0.968597412109375,0.9348602294921875,0.913055419921875
0.117,1.0270233154296875,1.0431976318359375,1.05157470703125,1.03778076171875,1.0054779052734375,0.9670562744140625,0.9339599609375,0.9137420654296875
0.156,1.017608642578125,1.0346527099609375,1.042999267578125,1.02587890625,0.994110107421875,0.9563140869140625,0.92218017578125,0.9035186767578125
0.195,1.0284423828125,1.041168212890625,1.046600341796875,1.030792236328125,0.9982452392578125,0.95892333984375,0.9229736328125,0.9012908935546875
0.234,1.0263214111328125,1.0400543212890625,1.0467681884765625,1.0318450927734375,1.0002899169921875,0.959564208984375,0.92230224609375,0.900482177734375
0.273,1.0344085693359375,1.0525665283203125,1.059326171875,1.041839599609375,1.009521484375,0.9731597900390625,0.93682861328125,0.91015625
0.312,1.0290679931640625,1.046600341796875,1.0570526123046875,1.0451202392578125,1.016510009765625,0.9786834716796875,0.9418182373046875,0.917694091796875
0.351,1.02435302734375,1.0401763916015625,1.0508880615234375,1.0412750244140625,1.013702392578125,0.9755401611328125,0.93988037109375,0.91802978515625
0.39,1.0182647705078125,1.034820556640625,1.0441436767578125,1.0311126708984375,1.0036773681640625,0.9680328369140625,0.932830810546875,0.9100494384765625
0.429,1.0344390869140625,1.048187255859375,1.05303955078125,1.038421630859375,1.0087890625,0.9718017578125,0.936553955078125,0.912872314453125
0.468,1.0290374755859375,1.0456695556640625,1.0532684326171875,1.0400848388671875,1.0135345458984375,0.977020263671875,0.941436767578125,0.9185943603515625
0.507,1.030120849609375,1.0488739013671875,1.0574188232421875,1.044219970703125,1.0147857666015625,0.9774322509765625,0.94268798828125,0.9201812744140625
0.546,1.0232696533203125,1.04193115234375,1.05389404296875,1.04193115234375,1.0118408203125,0.9747467041015625,0.941802978515625,0.9196929931640625
0.585,1.0449371337890625,1.0662841796875,1.07501220703125,1.05731201171875,1.0208740234375,0.975067138671875,0.93212890625,0.9031219482421875
0.624,1.0596160888671875,1.0862579345703125,1.096343994140625,1.077239990234375,1.0405731201171875,0.9951934814453125,0.9519195556640625,0.9214019775390625
0.663,1.046356201171875,1.0695953369140625,1.0784454345703125,1.05908203125,1.0217742919921875,0.977142333984375,0.93548583984375,0.909027099609375
0.702,1.046661376953125,1.0658416748046875,1.0723724365234375,1.053131103515625,1.017059326171875,0.9737548828125,0.9329681396484375,0.9035797119140625
