# Time (seconds),f0_f0_f0,f0_f0_f1,f0_f0_f2,f0_f0_f3,f0_f0_f4,f0_f0_f5,f0_f0_f6,f0_f0_f7
0.039,1.0278472900390625,1.0506134033203125,1.0767822265625,1.0870361328125,1.08135986328125,1.0632171630859375,1.03497314453125,1.0027618408203125
0.078,1.0241546630859375,1.0455474853515625,1.0699462890625,1.08050537109375,1.0787506103515625,1.06268310546875,1.0343780517578125,1.0027313232421875
0.117,1.026031494140625,1.04766845703125,1.0733184814453125,1.08282470703125,1.0781707763671875,1.0605926513671875,1.033233642578125,1.003326416015625
0.156,1.02587890625,1.0476531982421875,1.0738983154296875,1.0864105224609375,1.0817108154296875,1.0612945556640625,1.032196044921875,1.0030517578125
0.195,1.022552490234375,1.042938232421875,1.0679473876953125,1.0814056396484375,1.0802154541015625,1.0626373291015625,1.0343475341796875,1.0055999755859375
0.234,1.020721435546875,1.0443267822265625,1.074493408203125,1.0908660888671875,1.088531494140625,1.0687103271484375,1.0377655029296875,1.0055389404296875
0.273,1.0232696533203125,1.0501251220703125,1.0814971923828125,1.0946044921875,1.0877838134765625,1.0655517578125,1.033905029296875,1.001007080078125
0.312,1.0238037109375,1.051177978515625,1.0838470458984375,1.0962677001953125,1.087921142578125,1.064788818359375,1.03363037109375,1.0019683837890625
0.351,1.029144287109375,1.0547332763671875,1.08551025390625,1.095916748046875,1.08416748046875,1.0587158203125,1.0274810791015625,0.99554443359375
0.39,1.0294342041015625,1.0547943115234375,1.08343505859375,1.094757080078125,1.0858917236328125,1.0611572265625,1.0301666259765625,0.99993896484375
0.429,1.0235748291015625,1.0512542724609375,1.0818939208984375,1.0924530029296875,1.082275390625,1.0576629638671875,1.026947021484375,0.9960174560546875
0.468,1.0317230224609375,1.0614776611328125,1.0887451171875,1.0943756103515625,1.0814666748046875,1.0575714111328125,1.026397705078125,0.99462890625
0.507,1.0245361328125,1.05303955078125,1.0829315185546875,1.0933380126953125,1.0852813720703125,1.061553955078125,1.0321044921875,1.0028076171875
0.546,1.028900146484375,1.0573272705078125,1.084808349609375,1.0915679931640625,1.0816802978515625,1.0594940185546875,1.030517578125,0.9999847412109375
0.585,1.02392578125,1.0480194091796875,1.0764007568359375,1.0890960693359375,1.083709716796875,1.065704345703125,1.040374755859375,1.009307861328125
0.624,1.026336669921875,1.0482330322265625,1.0762176513671875,1.0883636474609375,1.083465576171875,1.066009521484375,1.0384521484375,1.0053863525390625
0.663,1.0207672119140625,1.044586181640625,1.073577880859375,1.0860443115234375,1.0829925537109375,1.0661163330078125,1.0379791259765625,1.00750732421875
0.702,1.0225677490234375,1.049713134765625,1.0789642333984375,1.0909271240234375,1.084686279296875,1.0648651123046875,1.037261962890625,1.0054931640625
0.741,1.0219879150390625,1.044342041015625,1.074859619140625,1.0901031494140625,1.0847015380859375,1.0635833740234375,1.0345458984375,1.002716064453125
0.78,1.0223541259765625,1.0453033447265625,1.0744781494140625,1.0857086181640625,1.08013916015625,1.0630645751953125,1.036712646484375,1.0038909912109375
0.819,1.013031005859375,1.0394287109375,1.0703277587890625,1.0832672119140625,1.079071044921875,1.061614990234375,1.0345611572265625,1.002899169921875
0.858,1.0219879150390625,1.04693603515625,1.0763702392578125,1.0887908935546875,1.0820770263671875,1.062103271484375,1.0350494384765625,1.0040435791015625
0.897,1.0281982421875,1.050689697265625,1.0785369873046875,1.090576171875,1.0841217041015625,1.062225341796875,1.0309600830078125,0.9990997314453125
0.936,1.0216522216796875,1.04620361328125,1.0759429931640625,1.0887298583984375,1.083587646484375,1.0657806396484375,1.038909912109375,1.0078582763671875
0.975,1.0246734619140625,1.05072021484375,1.079803466796875,1.0899658203125,1.082000732421875,1.06256103515625,1.0351104736328125,1.0034027099609375
1.014,1.022491455078125,1.048675537109375,1.0765228271484375,1.086700439453125,1.0806121826171875,1.0604248046875,1.0310821533203125,1.0022735595703125
1.053,1.0296478271484375,1.054290771484375,1.0834808349609375,1.0948944091796875,1.0853118896484375,1.059967041015625,1.0277557373046875,0.9965972900390625
1.092,1.0200653076171875,1.0471343994140625,1.0775604248046875,1.0877838134765625,1.0785980224609375,1.0548553466796875,1.0263824462890625,0.9980316162109375
1.131,1.024505615234375,1.052215576171875,1.0817718505859375,1.09234619140625,1.083648681640625,1.058074951171875,1.0269927978515625,0.9957122802734375
1.17,1.0222930908203125,1.0486297607421875,1.0789947509765625,1.0903472900390625,1.081878662109375,1.0588531494140625,1.0277252197265625,0.99761962890625
1.209,1.022735595703125,1.0479278564453125,1.0765228271484375,1.087890625,1.0794830322265625,1.05694580078125,1.02825927734375,0.998382568359375
1.248,1.0276641845703125,1.0525665283203125,1.0805206298828125,1.0906524658203125,1.0827178955078125,1.0602264404296875,1.02899169921875,0.9973602294921875
1.287,1.028472900390625,1.053070068359375,1.0797882080078125,1.089569091796875,1.082550048828125,1.0612945556640625,1.030059814453125,0.995147705078125
1.326,1.0287322998046875,1.0521087646484375,1.0768585205078125,1.085968017578125,1.0783843994140625,1.057037353515625,1.0271453857421875,0.996429443359375
1.365,1.0247955322265625,1.04949951171875,1.0747833251953125,1.0823211669921875,1.07391357421875,1.052886962890625,1.0242462158203125,0.9947509765625
1.404,1.0209503173828125,1.047271728515625,1.07470703125,1.081939697265625,1.073394775390625,1.05364990234375,1.027008056640625,0.9980621337890625
1.443,1.0235443115234375,1.0460357666015625,1.0742034912109375,1.0846405029296875,1.075927734375,1.0547943115234375,1.0282440185546875,0.9998779296875
1.482,1.0209503173828125,1.04541015625,1.072723388671875,1.0814971923828125,1.07489013671875,1.0557861328125,1.02642822265625,0.996612548828125
1.521,1.02508544921875,1.047576904296875,1.0743408203125,1.08380126953125,1.0766754150390625,1.0583953857421875,1.0292816162109375,0.9949493408203125
1.56,1.0308380126953125,1.053802490234375,1.0812835693359375,1.091033935546875,1.0818328857421875,1.05804443359375,1.0267486572265625,0.9955596923828125
1.599,1.0200653076171875,1.045013427734375,1.0767974853515625,1.0899200439453125,1.0823211669921875,1.0584259033203125,1.026702880859375,0.99481201171875
1.638,1.0258026123046875,1.0501861572265625,1.0791778564453125,1.09112548828125,1.0839996337890625,1.0619049072265625,1.032135009765625,0.9990386962890625
1.677,1.03692626953125,1.060699462890625,1.0849609375,1.0942230224609375,1.0881500244140625,1.0664215087890625,1.0349884033203125,1.002716064453125
1.716,1.0272674560546875,1.053985595703125,1.0832672119140625,1.0919036865234375,1.0819244384765625,1.0597076416015625,1.030029296875,0.9980010986328125
1.755,1.03125,1.0543365478515625,1.0792388916015625,1.0880126953125,1.07843017578125,1.0559539794921875,1.0272064208984375,0.99774169921875
1.794,1.0274200439453125,1.0511932373046875,1.0775909423828125,1.0865631103515625,1.078887939453125,1.0578765869140625,1.0281829833984375,0.9991912841796875
1.833,1.0279998779296875,1.0489044189453125,1.075592041015625,1.0842742919921875,1.075653076171875,1.0538482666015625,1.024505615234375,0.9974517822265625
1.872,1.0195770263671875,1.04339599609375,1.0710296630859375,1.0795135498046875,1.0712432861328125,1.0496826171875,1.0204010009765625,0.9940948486328125
1.911,1.0203399658203125,1.0459442138671875,1.073944091796875,1.08209228515625,1.07244873046875,1.051055908203125,1.0216064453125,0.9923095703125
1.95,1.0225830078125,1.0481414794921875,1.0756072998046875,1.0842742919921875,1.0756378173828125,1.0517578125,1.0194091796875,0.9893646240234375
1.989,1.0312042236328125,1.054168701171875,1.0785369873046875,1.0882415771484375,1.0793304443359375,1.0537872314453125,1.0211639404296875,0.9902801513671875
2.028,1.019439697265625,1.0431976318359375,1.0726470947265625,1.0831451416015625,1.073883056640625,1.04986572265625,1.020477294921875,0.9925994873046875
2.067,1.02239990234375,1.048675537109375,1.0741424560546875,1.0834197998046875,1.07843017578125,1.058135986328125,1.02703857421875,0.995025634765625
2.106,1.0266571044921875,1.0509185791015625,1.077362060546875,1.084381103515625,1.0769195556640625,1.0568695068359375,1.0263824462890625,0.994476318359375
2.145,1.0181884765625,1.0413665771484375,1.0696563720703125,1.0811309814453125,1.0753173828125,1.0561370849609375,1.0268707275390625,0.9965057373046875
2.184,1.01708984375,1.038238525390625,1.0654296875,1.07769775390625,1.074188232421875,1.0547027587890625,1.0250396728515625,0.9954071044921875
2.223,1.0234375,1.043060302734375,1.0679931640625,1.0791015625,1.0749664306640625,1.0545196533203125,1.02606201171875,0.9986419677734375
2.262,1.0283203125,1.0483245849609375,1.071563720703125,1.0791778564453125,1.07427978515625,1.0572509765625,1.029876708984375,1.000152587890625
2.301,1.0200042724609375,1.044921875,1.0757904052734375,1.086517333984375,1.080474853515625,1.059783935546875,1.0283050537109375,0.99505615234375
2.34,1.0197296142578125,1.0446624755859375,1.0754547119140625,1.0878448486328125,1.0804443359375,1.0576629638671875,1.0258026123046875,0.9932861328125
2.379,1.02301025390625,1.0477142333984375,1.0752105712890625,1.086181640625,1.0791473388671875,1.05474853515625,1.023651123046875,0.993560791015625
2.418,1.0132904052734375,1.038848876953125,1.0710601806640625,1.0829925537109375,1.0749664306640625,1.0538482666015625,1.0250091552734375,0.9952392578125
