# Time (seconds),f0_f0_f0,f0_f0_f1,f0_f0_f2,f0_f0_f3,f0_f0_f4,f0_f0_f5,f0_f0_f6,f0_f0_f7
0.039,1.0359954833984375,1.0490264892578125,1.04168701171875,1.006317138671875,0.956817626953125,0.901824951171875,0.85333251953125,0.8241729736328125
0.078,1.04278564453125,1.05535888671875,1.04736328125,1.0098419189453125,0.959259033203125,0.903656005859375,0.85552978515625,0.826080322265625
0.117,1.0515899658203125,1.06353759765625,1.0523223876953125,1.013641357421875,0.9607086181640625,0.9047088623046875,0.8559722900390625,0.8273162841796875
0.156,1.0351104736328125,1.0474090576171875,1.0426025390625,1.01031494140625,0.9617919921875,0.9071044921875,0.8592681884765625,0.8294677734375
0.195,1.04669189453125,1.0584564208984375,1.0487060546875,1.0119476318359375,0.9614410400390625,0.9055328369140625,0.8566131591796875,0.8262939453125
0.234,1.04180908203125,1.0528717041015625,1.0440826416015625,1.0087890625,0.958892822265625,0.9034423828125,0.8541259765625,0.8250885009765625
0.273,1.050689697265625,1.06103515625,1.05084228515625,1.014312744140625,0.9621734619140625,0.9053802490234375,0.85687255859375,0.8270111083984375
0.312,1.039520263671875,1.051239013671875,1.0428009033203125,1.0068817138671875,0.9575653076171875,0.9042205810546875,0.8582916259765625,0.8296051025390625
0.351,1.037139892578125,1.0475921630859375,1.0397796630859375,1.0061492919921875,0.9567718505859375,0.90301513671875,0.8556365966796875,0.8261871337890625
0.39,1.04766845703125,1.0589752197265625,1.0488433837890625,1.012481689453125,0.962188720703125,0.9051666259765625,0.856475830078125,0.8287506103515625
0.429,1.0472412109375,1.0580902099609375,1.0488739013671875,1.011993408203125,0.9614715576171875,0.9077606201171875,0.860687255859375,0.8294830322265625
0.468,1.043243408203125,1.055755615234375,1.0484466552734375,1.011871337890625,0.95965576171875,0.9046783447265625,0.8580169677734375,0.8284149169921875
0.507,1.0402984619140625,1.05206298828125,1.04473876953125,1.00921630859375,0.9600067138671875,0.9056549072265625,0.8563995361328125,0.826080322265625
0.546,1.0462493896484375,1.056610107421875,1.048309326171875,1.01397705078125,0.9627227783203125,0.9048004150390625,0.8548583984375,0.8262481689453125
0.585,1.0508575439453125,1.0624542236328125,1.052001953125,1.0145721435546875,0.9625091552734375,0.9065399169921875,0.85791015625,0.8279266357421875
0.624,1.0421905517578125,1.0543365478515625,1.047271728515625,1.0124969482421875,0.9622344970703125,0.905853271484375,0.8565826416015625,0.8264617919921875
0.663,1.0472564697265625,1.0599365234375,1.050689697265625,1.0139312744140625,0.9623870849609375,0.904327392578125,0.853729248046875,0.8251953125
0.702,1.0393218994140625,1.050933837890625,1.0437469482421875,1.009979248046875,0.9594879150390625,0.9016571044921875,0.8526153564453125,0.8227996826171875
