# Time (seconds),f0_f0_f0,f0_f0_f1,f0_f0_f2,f0_f0_f3,f0_f0_f4,f0_f0_f5,f0_f0_f6,f0_f0_f7
0.039,1.023834228515625,1.046142578125,1.0749969482421875,1.090850830078125,1.088134765625,1.0697784423828125,1.043853759765625,1.0140380859375
0.078,1.0206146240234375,1.0431976318359375,1.0707855224609375,1.0858306884765625,1.0853729248046875,1.0693511962890625,1.0432586669921875,1.0141448974609375
0.117,1.0232391357421875,1.045013427734375,1.0735321044921875,1.0875091552734375,1.08489990234375,1.067169189453125,1.0395050048828125,1.009552001953125
0.156,1.0234375,1.047027587890625,1.0755462646484375,1.0883941650390625,1.0848846435546875,1.06854248046875,1.042266845703125,1.0138397216796875
0.195,1.018890380859375,1.041595458984375,1.0715789794921875,1.086334228515625,1.0839080810546875,1.0677947998046875,1.043731689453125,1.015838623046875
0.234,1.0253143310546875,1.0431365966796875,1.0705718994140625,1.08648681640625,1.0847930908203125,1.068817138671875,1.0448760986328125,1.0170135498046875
0.273,1.0214691162109375,1.0433502197265625,1.069732666015625,1.084442138671875,1.0850830078125,1.0724945068359375,1.0494384765625,1.0187835693359375
0.312,1.02001953125,1.04425048828125,1.073944091796875,1.0858612060546875,1.0829620361328125,1.0686492919921875,1.0434722900390625,1.0133819580078125
0.351,1.0242156982421875,1.044189453125,1.071075439453125,1.087249755859375,1.0869140625,1.0695343017578125,1.04217529296875,1.0135040283203125
0.39,1.0221099853515625,1.0450439453125,1.0734405517578125,1.0886688232421875,1.0882110595703125,1.072479248046875,1.0468292236328125,1.016326904296875
0.429,1.025115966796875,1.0505218505859375,1.078826904296875,1.0906829833984375,1.088348388671875,1.0727691650390625,1.046722412109375,1.0167388916015625
0.468,1.02203369140625,1.044342041015625,1.0728759765625,1.08831787109375,1.086822509765625,1.070068359375,1.0437469482421875,1.01422119140625
0.507,1.028472900390625,1.0506744384765625,1.07818603515625,1.0922698974609375,1.0888671875,1.070526123046875,1.0433197021484375,1.0143890380859375
0.546,1.0257568359375,1.0472564697265625,1.074249267578125,1.0882415771484375,1.087371826171875,1.070770263671875,1.04376220703125,1.01275634765625
0.585,1.01275634765625,1.035400390625,1.06573486328125,1.0827484130859375,1.08306884765625,1.0675811767578125,1.0419464111328125,1.01434326171875
0.624,1.01995849609375,1.0444793701171875,1.073883056640625,1.087066650390625,1.083221435546875,1.0661468505859375,1.04083251953125,1.012481689453125
0.663,1.02239990234375,1.042877197265625,1.0714111328125,1.0867462158203125,1.0861358642578125,1.072052001953125,1.04541015625,1.0140380859375
0.702,1.0228271484375,1.044708251953125,1.07208251953125,1.0869140625,1.084930419921875,1.068267822265625,1.0439605712890625,1.0161895751953125
0.741,1.024505615234375,1.048126220703125,1.0760040283203125,1.0871429443359375,1.0818939208984375,1.0643768310546875,1.0381927490234375,1.009918212890625
0.78,1.009124755859375,1.03411865234375,1.0662078857421875,1.0809478759765625,1.0791015625,1.0644378662109375,1.0399627685546875,1.01239013671875
0.819,1.01806640625,1.0421600341796875,1.0735626220703125,1.0894317626953125,1.0882568359375,1.0711212158203125,1.0438995361328125,1.0131072998046875
0.858,1.02374267578125,1.046966552734375,1.075653076171875,1.0899505615234375,1.08843994140625,1.0735626220703125,1.0478668212890625,1.016571044921875
0.897,1.016815185546875,1.040435791015625,1.0697479248046875,1.0827178955078125,1.0792236328125,1.064483642578125,1.0414276123046875,1.013214111328125
0.936,1.0233306884765625,1.0473480224609375,1.0748443603515625,1.0881805419921875,1.0863037109375,1.0699462890625,1.0438079833984375,1.01416015625
0.975,1.0218048095703125,1.044677734375,1.07208251953125,1.08502197265625,1.0832366943359375,1.0660247802734375,1.0395660400390625,1.0113983154296875
1.014,1.0183258056640625,1.0425567626953125,1.071929931640625,1.0854644775390625,1.083587646484375,1.06640625,1.0373992919921875,1.0076751708984375
1.053,1.0179290771484375,1.03997802734375,1.069000244140625,1.0838775634765625,1.0838165283203125,1.069549560546875,1.0441436767578125,1.01446533203125
1.092,1.017913818359375,1.04010009765625,1.0716552734375,1.088165283203125,1.084564208984375,1.06622314453125,1.0406036376953125,1.0123748779296875
1.131,1.0238494873046875,1.046905517578125,1.0753936767578125,1.0880126953125,1.0840301513671875,1.0676727294921875,1.043609619140625,1.01458740234375
1.17,1.019012451171875,1.038299560546875,1.0667266845703125,1.0825347900390625,1.0826263427734375,1.0686187744140625,1.0427398681640625,1.013427734375
1.209,1.0245819091796875,1.0476226806640625,1.0748138427734375,1.0887908935546875,1.0875701904296875,1.0703887939453125,1.041595458984375,1.0104827880859375
1.248,1.033416748046875,1.055419921875,1.0814208984375,1.094879150390625,1.0918731689453125,1.07421875,1.045166015625,1.0115509033203125
1.287,1.02117919921875,1.0458526611328125,1.0754241943359375,1.088714599609375,1.08465576171875,1.0663604736328125,1.03826904296875,1.0075836181640625
1.326,1.0192413330078125,1.04150390625,1.071258544921875,1.0860748291015625,1.08489990234375,1.0690155029296875,1.04266357421875,1.0119476318359375
1.365,1.022491455078125,1.0433197021484375,1.0694122314453125,1.0839996337890625,1.0841522216796875,1.0700836181640625,1.0452728271484375,1.0158233642578125
1.404,1.01959228515625,1.0378875732421875,1.0658111572265625,1.0823211669921875,1.084259033203125,1.0719757080078125,1.0495147705078125,1.019439697265625
1.443,1.0144805908203125,1.035186767578125,1.064300537109375,1.0801849365234375,1.07958984375,1.0676116943359375,1.0465545654296875,1.0167236328125
1.482,1.0138397216796875,1.0379486083984375,1.0691070556640625,1.0847625732421875,1.0835113525390625,1.068878173828125,1.043243408203125,1.0122833251953125
1.521,1.0188446044921875,1.041778564453125,1.0711212158203125,1.0856475830078125,1.08465576171875,1.0687255859375,1.03997802734375,1.0083770751953125
